crew house big mike set write smoke nigga thinkin kid joke rest fast blast chest rap new yeahk rule jewel crew short work stay cause hurt hot fuck crowd live style hang crime time save cause rhyme sell crack dough stack hold gat soul rapper tell rap gold nigga past ass brother leave rhyme mc late lord power strike drop follow nigga prop nut murder stuff talk rough beat bad big break bone mc live mad rhyme funky step eat nice ask nigga bout think gun shit knock ass microphone tear peace big straight hell fuck outta time god pass mic crew cause bad mad serve brother quick fast step body blow cause slide home mad nice quick lick cold life nigga fuck takin nigga live bust glock drop rock lock flow need blow groove slow rhyme kill line deep jail kid read dead ask beef jump come soft pump let come miss rapper funny cause son talk shoot come trigger peace cause crew east police attack track break jack gat black mac light look fight leave right hook life havin pain brain jail find crime fill nothin lead boom find dead pack people wanna reason blow head shake time lead mike head straight rhyme cause time step kid bomb cause start bone nigga home word god kinda hard touch come nigga bring nigga need gun cause kill dead lead number death nigga learn burn ass need question nice cause fact friend shoot mac nigga half nice send mike bout rush makin tough peace big true true outta peace short man brother rock hard pack crew peace murder crew good crew crew crew sayin peace street crew crew word	train
number crew big nigga gettin man win cause street fly dick speak makin duck tear buck fuck care takin fast cash figure bitch ass nigga scared nigga lead use dick pussy nigga drug spot new yeahk cause big fuckin key style great man wild flavor motherfuckin later rapper hit fuckin cause hell try style play figure shit fuckin neck nigga bad figure come rap skill ass nigga lock rap new jack kickin wack rap fact fuckin shit tell cause bitch motherfuckin number crew mcs death wish talk motherfuckin shit want bitch motherfucker try flip fill clip stick gun lip let smoke need lie cry time motherfucker die death sex brain miss mac motherfucker runnin blind fuckin cat cause microphone let loose fuck cut loose life fuckin white kid kid everybody microphone nut fly wall shit talk shit shit leave run wreck straight fuckin crack crack crack jack run microphone nut motherfuckin gun way rock way stop pop drop hot hold cause break pound pound good way shake roll wreck shit beat nigga ass half da fuckin fuckin ill skill lady step skill bitch treat respect punk cap sign creep block fuck glock step neighborhood lady feel cause real man outta line kill kill kill step play small nigga wanna fall guy mess dead man hype night respect big wreck check yeahself cause people want gat step cap fool rip track wanna peace hip hop nigga bring drop wreck party hit kid smokin nigga ask gettin jewel big big stick stick stick grab gat let loose gat cock nigga man punk let leave pussy ass west fuck blow nigga dip fast quick fast blast ass body ill neck blood effect nigga want past fast buck ask duck jewel ass stick fuck sayin hop want cop drop givin fuck hit nigga tryin hear shit burn nigga die come shoot ass try play head cause death	train
mc ask suppose rap rap cause use mic right sayin wack rap need smack sit rip hey big playin game buck wild start sayin deep inside rhyme fake rapper goin soul rapper mad nice gold way goin way understand understand understand mc rap game mc goin understand man rapper cold minute hardcore raw change rap lose fame use fall drop turn pop long prop black use fat track jack wack mc step change time drop dime goin rough stay rough stay try look sound rapper need rapper wear gold understand understand understand mc rap game rap strong mc grab mic sound dumb plus rap skill wonder hell record sell rap speak weak little beat fame lyric black step run train track rap wack understand cause rhyme skill soul givin mc rapper hard rhyme write mc understand understand understand mc rap game understand	train
let point real quick pocket mad brother tip jewel car sweat star pocket girl wanna rich matter strong rap boot loot cause break wack dough fat butt fresh long hair face live pack case start buck soon break joke outta long outta good tear cause break play gettin money honey cash gettin ass loot boot girl pocket look talk brother man cause want drug girl speak dollar fresh good friend long think soon dough makin paper sucker jump buy dumb clothe takin dead break girl cause girl want thing big big cause break play tell cause figure hate money girl funny girl money lookin wanna fly girl ask ring eye use diss wanna kiss break fact hit hoe jack big livin ring girl givin girl act	train
pass quick money grip ass street strike man quick happen fight friend sweat yeahself clown rapper way cause jack girl ring matter far throw come come straight big peace dj love mix tape man track chance jack loose let hand juice mad break nigga mad cause hit speak jam find crime record long rap fly cause buy come straight peace kid rap game rap game big battle loose run fool finger use run gun black leave neighborhood mess find girl want money love honey yes live pocket need come straight rap job	train
town clown beat hear sound big park soft dark cause nigga try cat gat choose live buck use crime city shit rob kid split dough day stick game split cash murder ass half end skin dough need friend catch late night black gettin stick jack mom tell job fuck picture gettin job takin sellin hell end meet makin dollar week man hit want clean clothe mean hoe shit sucker low dirty double crib bar use wait dark tell nigga wanna black run street fast nigga brand new ring cause everyday beat ride nigga blind tell dough smoke oh break dead break big cold crazy pocket book old lady care buck rob cause fuck brother break house rob brain bust cause livin word livin brother big ice black dog love ring rich forget rest peace dog man peace	train
head fly block rapper heart crack come wild style child gun gun open smokin half bone body break come gettin girl look run hittin dirty body step good word leave mic tear big come come big come represent come nuttin big punk mouth blast cash ask somebody big crazy brother lady smooth kid run baby mother push hit sick friend cause money honey think nice ha ha funny nigga flow miss tell truth wreck break big come big big represent come boy gun joke boy dead gun smoke gun joke dead drink stay peace homie gangsta fact gat reach freak bomb puttin rapper big fear cause shit real battle pick wrong head mic kill bear dead pull steel kill run kid real rap new town peace people child cause big come big big big word man big runnin thing oh mean kid gon little somethin big come lord man man fat forget diamond kid	train
steal run run type evil run microphone rap grab hoe nigga crime follow hittin fine punk beat til head split break sex fuck dead bitch nigga jump leave brain street thinkin enemy til start big burn hell cause rap style hard run believe god cause man hold cause man hold style bitch mix straight double stick lie gun fuck shit devil son way minute style switch real man hit girl real cause beat bitch use word ill steel cool kill takin live great type mac fast cap chest big stress cause hell shit little kid big comin soft hoe runnin bitch nigga drop body fresh wear bitch fuck beef cause minute jump leave nigga body girl cold blow job crazy bitch sleep nigga mad try step nigga spread turn white red	train
scene brother big little kid dig cause nothin whip nigga ass day slow roll hood cock deep good skin black attack throw stick gat fuckin cap murder man life end pay man cop life life street light way shoot cop stop stop mean big cold diss ask system yeahng black brother doin life cause mean white kid rhyme kick flip cause feed bullshit feed bullshit feed bullshit feed bullshit feed hot cool cold fuckin nigga reason gettin home work treat fuckin nigga street tough rough fuck day week listen brother speak bad clown gettin glock feed cop feed punk ass stop care slow skin brown goin cause white catch light bullet right clip trigger pull quick cause feed bullshit	train
big comin people check cream lot yeahng wet cause mad clown wreck instead cool friend hang thug instead goin school sell drug good right wrong catch long run brother stupid gettin life word sell crack bust gat run street hittin makin easy green cause care buck sweet nut cause street strike listen rhyme cause bein street nuttin bullet jail time pay rhyme cause bein street nuttin bullet jail time rap sellin crack stay mac start rappin nice hell doin life jail peep game sellin head thang cash try rest cause rich crazy loot house car good dead bar funny lot fast money rap instead bank crack use kid dream cause street strike chill peep street time crib rhyme dope beat freak bone word try leave street crazy hard kid word street crack dumb joke listen yeahng cause stay corner good plan catch bullet mean man end deep cut bed bein street strike big cause stay corner stay rest peace cat street outta	train
